id,titre,auteur,type,page,annee,disponible
1,Yaounde,Eto'o,Livre,100,2026,true
2,Douala,Essomba,Livre,120,2025,true
3,Bertoua,Takam,Livre,90,2024,true
4,Ebolowa,Souley,Livre,50,2023,true
5,Bamenda,Soufo,Livre,60,2022,true
6,Nkongsamba,Effoudou,Livre,70,2021,true
7,Eseka,Panda,Livre,200,2020,true
8,AbongMbang,Mazeka,Ebook,150,2019,true
9,Garoua,Bell,Ebook,130,2020,true
10,Bafoussam,Penka,Revue,200,2021,true
11,Lolodorf,mava'ala,Livre,160,2022,true
12,Mfou,Folere,Revue,98,2023,true
13,Limbe,Epoh,Ebook,170,2024,true
14,Maroua,Ndoumbe,Livre,102,2025,true
15,Kribi,Eto'o,Livre,100,2026,true
16,Yaounde,Eto'o,Livre,-100,2020,true
