id,titre,auteur,type,page,annee
1,Yaounde,Eto'o,Livre,100,2026
2,Douala,Essomba,Livre,120,2025
3,Bertoua,Takam,Livre,90,2024
4,Ebolowa,Souley,Livre,50,2023
5,Bamenda,Soufo,Livre,60,2022
6,Nkongsamba,Effoudou,Livre,70,2021
7,Eseka,Panda,Livre,200,2020
8,AbongMbang,Mazeka,Ebook,150,2019
9,Garoua,Bell,Ebook,130,2020
10,Bafoussam,Penka,Revue,200,2021
11,Lolodorf,mava'ala,Livre,160,2022
12,Mfou,Folere,Revue,98,2023
13,Limbe,Epoh,Ebook,170,2024
14,Maroua,Ndoumbe,Livre,102,2025
15,Kribi,Eto'o,Livre,100,2026
16,Yaounde,Eto'o,Livre,-100,2020
2,Douala,Essomba,Livre,120,2025
